id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
1,Afghanistan,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/40px-Flag_of_the_Taliban.svg.png,,2025-09-07 15:57:35,0,0,country
2,Albania,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/40px-Flag_of_Albania.svg.png,,2025-09-07 15:57:35,0,0,country
3,Algeria,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/40px-Flag_of_Algeria.svg.png,,2025-09-07 15:57:35,0,0,country
4,American Samoa,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_American_Samoa.svg/40px-Flag_of_American_Samoa.svg.png,,2025-09-07 15:57:35,0,0,country
5,Andorra,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/40px-Flag_of_Andorra.svg.png,,2025-09-07 15:57:35,0,0,country
6,Angola,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/40px-Flag_of_Angola.svg.png,,2025-09-07 15:57:35,0,0,country
7,Anguilla,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/40px-Flag_of_Anguilla.svg.png,,2025-09-07 15:57:35,0,0,country
8,Antigua and Barbuda,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/40px-Flag_of_Antigua_and_Barbuda.svg.png,,2025-09-07 15:57:35,0,0,country
9,Argentina,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/40px-Flag_of_Argentina.svg.png,,2025-09-07 15:57:35,0,0,country
10,Armenia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/40px-Flag_of_Armenia.svg.png,,2025-09-07 15:57:35,0,0,country
11,Aruba,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Aruba.svg/40px-Flag_of_Aruba.svg.png,,2025-09-07 15:57:35,0,0,country
12,Australia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/40px-Flag_of_Australia_%28converted%29.svg.png,,2025-09-07 15:57:35,0,0,country
13,Austria,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/40px-Flag_of_Austria.svg.png,,2025-09-07 15:57:35,0,0,country
14,Åland,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Flag_of_%C3%85land.svg/40px-Flag_of_%C3%85land.svg.png,,2025-09-07 15:57:35,0,0,country
15,Azerbaijan,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/40px-Flag_of_Azerbaijan.svg.png,,2025-09-07 15:57:35,0,0,country
16,The Bahamas,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/40px-Flag_of_the_Bahamas.svg.png,,2025-09-07 15:57:35,0,0,country
17,Bahrain,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/40px-Flag_of_Bahrain.svg.png,,2025-09-07 15:57:35,0,0,country
18,Bangladesh,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/40px-Flag_of_Bangladesh.svg.png,,2025-09-07 15:57:35,0,0,country
19,Barbados,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/40px-Flag_of_Barbados.svg.png,,2025-09-07 15:57:35,0,0,country
20,Belarus,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/40px-Flag_of_Belarus.svg.png,,2025-09-07 15:57:35,0,0,country
21,Belgium,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/40px-Flag_of_Belgium_%28civil%29.svg.png,,2025-09-07 15:57:35,0,0,country
22,Belize,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/40px-Flag_of_Belize.svg.png,,2025-09-07 15:57:35,0,0,country
23,Benin,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Benin.svg/40px-Flag_of_Benin.svg.png,,2025-09-07 15:57:35,0,0,country
24,Bermuda,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/40px-Flag_of_Bermuda.svg.png,,2025-09-07 15:57:35,0,0,country
25,Bhutan,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/40px-Flag_of_Bhutan.svg.png,,2025-09-07 15:57:35,0,0,country
26,Bolivia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Bolivia.svg/40px-Flag_of_Bolivia.svg.png,,2025-09-07 15:57:35,0,0,country
