id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
,Adygea,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Adygea.svg/250px-Flag_of_Adygea.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Altai Republic,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Altai_Republic.svg/250px-Flag_of_Altai_Republic.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Bashkortostan,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_Bashkortostan.svg/250px-Flag_of_Bashkortostan.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Buryatia,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Buryatia.svg/250px-Flag_of_Buryatia.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Chechnya,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Flag_of_the_Chechen_Republic.svg/250px-Flag_of_the_Chechen_Republic.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Chuvashia,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flag_of_Chuvashia.svg/250px-Flag_of_Chuvashia.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Dagestan,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_Dagestan.svg/250px-Flag_of_Dagestan.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Ingushetia,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Ingushetia.svg/250px-Flag_of_Ingushetia.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Kabardino-Balkaria,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Flag_of_Kabardino-Balkaria.svg/250px-Flag_of_Kabardino-Balkaria.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Kalmykia,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Kalmykia.svg/250px-Flag_of_Kalmykia.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Karachay-Cherkessia,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Karachay-Cherkessia.svg/250px-Flag_of_Karachay-Cherkessia.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Karelia,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Karelia.svg/250px-Flag_of_Karelia.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Khakassia,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Khakassia.svg/250px-Flag_of_Khakassia.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Komi Republic,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Komi.svg/250px-Flag_of_Komi.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Mari El,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Flag_of_Mari_El.svg/250px-Flag_of_Mari_El.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Mordovia,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Mordovia.svg/250px-Flag_of_Mordovia.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,North Ossetia–Alania,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_North_Ossetia.svg/250px-Flag_of_North_Ossetia.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
,Sakha,republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Flag_of_Sakha.svg/250px-Flag_of_Sakha.svg.png,,2025-09-07T19:11:52.898619,0,0,ru_regions
