id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
337,Cherkasy Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Cherkasy_Oblast.svg/250px-Flag_of_Cherkasy_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
338,Chernivtsi Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Flag_of_Chernivtsi_Oblast.svg/250px-Flag_of_Chernivtsi_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
339,Chernihiv Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Chernihiv_Oblast.svg/250px-Flag_of_Chernihiv_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
340,Dnipropetrovsk Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Dnipropetrovsk_Oblast.svg/250px-Flag_of_Dnipropetrovsk_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
341,Donetsk Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Flag_of_Donetsk_Oblast.svg/250px-Flag_of_Donetsk_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
342,Ivano-Frankivsk Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Flag_of_Ivano-Frankivsk_Oblast.svg/250px-Flag_of_Ivano-Frankivsk_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
343,Kharkiv Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Kharkiv_Oblast.svg/250px-Flag_of_Kharkiv_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
344,Kherson Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_Kherson_Oblast.svg/250px-Flag_of_Kherson_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
345,Khmelnytskyi Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Flag_of_Khmelnytskyi_Oblast.svg/250px-Flag_of_Khmelnytskyi_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
346,Kirovohrad Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Kirovohrad_Oblast.svg/250px-Flag_of_Kirovohrad_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
347,Kyiv Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Flag_of_Kyiv_Oblast.svg/250px-Flag_of_Kyiv_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
348,Luhansk Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Luhansk_Oblast.svg/250px-Flag_of_Luhansk_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
349,Lviv Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Lviv_Oblast.svg/250px-Flag_of_Lviv_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
350,Mykolaiv Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Flag_of_Mykolaiv_Oblast.svg/250px-Flag_of_Mykolaiv_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
351,Odesa Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Odesa_Oblast.svg/250px-Flag_of_Odesa_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
352,Poltava Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Poltava_Oblast.svg/250px-Flag_of_Poltava_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
353,Rivne Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flag_of_Rivne_Oblast.svg/250px-Flag_of_Rivne_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
354,Sumy Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Sumy_Oblast.svg/250px-Flag_of_Sumy_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
355,Ternopil Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Flag_of_Ternopil_Oblast.svg/250px-Flag_of_Ternopil_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
356,Vinnytsia Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Vinnytsia_Oblast.svg/250px-Flag_of_Vinnytsia_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
357,Volyn Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Flag_of_Volhynian_Oblast.svg/250px-Flag_of_Volhynian_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
358,Zaporizhia Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Zaporizhia_Oblast.svg/250px-Flag_of_Zaporizhia_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
359,Zakarpattia Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flag_of_Transcarpathian_Oblast.svg/250px-Flag_of_Transcarpathian_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
360,Zhytomyr Oblast,oblast,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Zhytomyr_Oblast.svg/250px-Flag_of_Zhytomyr_Oblast.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
361,Crimea,autonomous republic,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Crimea.svg/250px-Flag_of_Crimea.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
362,Kyiv,city with special status,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_Kiev.svg/250px-Flag_of_Kiev.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
363,Sevastopol,city with special status,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Flag_of_Sevastopol.svg/250px-Flag_of_Sevastopol.svg.png,,2025-09-08T11:16:22.305546,0,0,ua_regions
