id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
,Alabama,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Alabama.svg/250px-Flag_of_Alabama.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Alaska,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Alaska.svg/250px-Flag_of_Alaska.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Arizona,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arizona.svg/250px-Flag_of_Arizona.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Arkansas,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arkansas.svg/250px-Flag_of_Arkansas.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,California,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_California.svg/250px-Flag_of_California.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Colorado,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Flag_of_Colorado.svg/250px-Flag_of_Colorado.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Connecticut,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Flag_of_Connecticut.svg/250px-Flag_of_Connecticut.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Delaware,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Flag_of_Delaware.svg/250px-Flag_of_Delaware.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Florida,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Florida.svg/250px-Flag_of_Florida.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Georgia,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_the_State_of_Georgia.svg/250px-Flag_of_the_State_of_Georgia.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Hawaii,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Hawaii.svg/250px-Flag_of_Hawaii.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Idaho,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_Idaho.svg/250px-Flag_of_Idaho.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Illinois,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Illinois.svg/250px-Flag_of_Illinois.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Indiana,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Flag_of_Indiana.svg/250px-Flag_of_Indiana.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Iowa,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Iowa.svg/250px-Flag_of_Iowa.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Kansas,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Kansas.svg/250px-Flag_of_Kansas.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Kentucky,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_Kentucky.svg/250px-Flag_of_Kentucky.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Louisiana,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_Louisiana.svg/250px-Flag_of_Louisiana.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Maine,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Flag_of_the_State_of_Maine.svg/250px-Flag_of_the_State_of_Maine.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Maryland,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Maryland.svg/250px-Flag_of_Maryland.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Massachusetts,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Massachusetts.svg/250px-Flag_of_Massachusetts.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Michigan,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Flag_of_Michigan.svg/250px-Flag_of_Michigan.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Minnesota,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Minnesota.svg/250px-Flag_of_Minnesota.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Mississippi,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_Mississippi.svg/250px-Flag_of_Mississippi.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Missouri,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Missouri.svg/250px-Flag_of_Missouri.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Montana,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_Montana.svg/250px-Flag_of_Montana.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Nebraska,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_Nebraska.svg/250px-Flag_of_Nebraska.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Nevada,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_Nevada.svg/250px-Flag_of_Nevada.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,New Hampshire,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_New_Hampshire.svg/250px-Flag_of_New_Hampshire.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,New Jersey,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_New_Jersey.svg/250px-Flag_of_New_Jersey.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,New Mexico,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_New_Mexico.svg/250px-Flag_of_New_Mexico.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,New York,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_New_York.svg/250px-Flag_of_New_York.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,North Carolina,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flag_of_North_Carolina.svg/250px-Flag_of_North_Carolina.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,North Dakota,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Flag_of_North_Dakota.svg/250px-Flag_of_North_Dakota.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Ohio,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Ohio.svg/250px-Flag_of_Ohio.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Oklahoma,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Oklahoma.svg/250px-Flag_of_Oklahoma.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Oregon,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Oregon.svg/250px-Flag_of_Oregon.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Pennsylvania,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Pennsylvania.svg/250px-Flag_of_Pennsylvania.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Rhode Island,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Rhode_Island.svg/120px-Flag_of_Rhode_Island.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,South Carolina,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_South_Carolina.svg/250px-Flag_of_South_Carolina.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,South Dakota,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_South_Dakota.svg/250px-Flag_of_South_Dakota.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
,Tennessee,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Tennessee.svg/250px-Flag_of_Tennessee.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
