id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
204,Alabama,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Alabama.svg/250px-Flag_of_Alabama.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
205,Alaska,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Alaska.svg/250px-Flag_of_Alaska.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
206,Arizona,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arizona.svg/250px-Flag_of_Arizona.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
207,Arkansas,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arkansas.svg/250px-Flag_of_Arkansas.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
208,California,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_California.svg/250px-Flag_of_California.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
209,Colorado,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Flag_of_Colorado.svg/250px-Flag_of_Colorado.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
210,Connecticut,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Flag_of_Connecticut.svg/250px-Flag_of_Connecticut.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
211,Delaware,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Flag_of_Delaware.svg/250px-Flag_of_Delaware.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
212,Florida,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Florida.svg/250px-Flag_of_Florida.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
213,Georgia,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_the_State_of_Georgia.svg/250px-Flag_of_the_State_of_Georgia.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
214,Hawaii,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Hawaii.svg/250px-Flag_of_Hawaii.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
215,Idaho,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_Idaho.svg/250px-Flag_of_Idaho.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
216,Illinois,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Illinois.svg/250px-Flag_of_Illinois.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
217,Indiana,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Flag_of_Indiana.svg/250px-Flag_of_Indiana.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
218,Iowa,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Iowa.svg/250px-Flag_of_Iowa.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
219,Kansas,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Kansas.svg/250px-Flag_of_Kansas.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
220,Kentucky,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_Kentucky.svg/250px-Flag_of_Kentucky.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
221,Louisiana,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_Louisiana.svg/250px-Flag_of_Louisiana.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
222,Maine,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Flag_of_the_State_of_Maine.svg/250px-Flag_of_the_State_of_Maine.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
223,Maryland,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Maryland.svg/250px-Flag_of_Maryland.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
224,Massachusetts,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Massachusetts.svg/250px-Flag_of_Massachusetts.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
225,Michigan,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Flag_of_Michigan.svg/250px-Flag_of_Michigan.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
226,Minnesota,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Minnesota.svg/250px-Flag_of_Minnesota.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
227,Mississippi,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_Mississippi.svg/250px-Flag_of_Mississippi.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
228,Missouri,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Missouri.svg/250px-Flag_of_Missouri.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
229,Montana,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_Montana.svg/250px-Flag_of_Montana.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
230,Nebraska,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_Nebraska.svg/250px-Flag_of_Nebraska.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
231,Nevada,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_Nevada.svg/250px-Flag_of_Nevada.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
232,New Hampshire,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_New_Hampshire.svg/250px-Flag_of_New_Hampshire.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
233,New Jersey,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_New_Jersey.svg/250px-Flag_of_New_Jersey.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
234,New Mexico,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_New_Mexico.svg/250px-Flag_of_New_Mexico.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
235,New York,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_New_York.svg/250px-Flag_of_New_York.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
236,North Carolina,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flag_of_North_Carolina.svg/250px-Flag_of_North_Carolina.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
237,North Dakota,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Flag_of_North_Dakota.svg/250px-Flag_of_North_Dakota.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
238,Ohio,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Ohio.svg/250px-Flag_of_Ohio.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
239,Oklahoma,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Oklahoma.svg/250px-Flag_of_Oklahoma.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
240,Oregon,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Oregon.svg/250px-Flag_of_Oregon.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
241,Pennsylvania,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Pennsylvania.svg/250px-Flag_of_Pennsylvania.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
242,Rhode Island,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Rhode_Island.svg/120px-Flag_of_Rhode_Island.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
243,South Carolina,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_South_Carolina.svg/250px-Flag_of_South_Carolina.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
244,South Dakota,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_South_Dakota.svg/250px-Flag_of_South_Dakota.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
245,Tennessee,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Tennessee.svg/250px-Flag_of_Tennessee.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
246,Texas,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Texas.svg/250px-Flag_of_Texas.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
247,Utah,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Utah.svg/250px-Flag_of_Utah.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
248,Vermont,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Vermont.svg/250px-Flag_of_Vermont.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
249,Virginia,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Virginia.svg/250px-Flag_of_Virginia.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
250,Washington,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Washington.svg/250px-Flag_of_Washington.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
251,West Virginia,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_West_Virginia.svg/250px-Flag_of_West_Virginia.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
252,Wisconsin,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_Wisconsin.svg/250px-Flag_of_Wisconsin.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
253,Wyoming,US State,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Wyoming.svg/250px-Flag_of_Wyoming.svg.png,,2025-09-07T15:34:02.402776+03:00,0,0,us_state
